Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance,Category
01/09/2026,SALARY CREDIT SEPT,,150000.00,238450.00,Salary
02/09/2026,UPI-BIGBASKET-GROCERY,2480.50,,235969.50,Groceries
03/09/2026,NEFT-LANDLORD-RENT,32000.00,,203969.50,Rent / EMI
05/09/2026,UPI-SWIGGY,642.00,,203327.50,Food & dining
07/09/2026,BESCOM ELECTRICITY BILL,3120.00,,200207.50,Utilities
09/09/2026,UPI-UBER-RIDE,285.00,,199922.50,Transport & fuel
12/09/2026,AMAZON PAY INDIA,4199.00,,195723.50,Shopping
15/09/2026,NETFLIX SUBSCRIPTION,649.00,,195074.50,Subscriptions
18/09/2026,APOLLO PHARMACY,1240.00,,193834.50,Healthcare
20/09/2026,INTEREST CREDIT,,1842.00,195676.50,Interest & dividend
